,상품명,가격,유형
0,CJ)구이한판그릴스모크60G,3300,1+1
1,녹차녹차돌자반55G,3300,1+1
2,파래파래돌자반55G,3300,1+1
3,바사삭단대추40G,3500,1+1
4,네슬레)킷캣팝스1500,1500,1+1
5,조지아)고티카빈티지라떼270ML,2200,1+1
6,조지아)고티카빈티지블랙270ML,2200,1+1
7,조지아)고티카스위트아메270ML,2200,1+1
8,노가리먹태1입,5500,1+1
9,NEW한끼불고기달콤(150G/수입),5500,1+1
10,NEW한끼불고기매콤(150G/수입),5500,1+1
11,캐나다한끼스테이크150G(냉동),9900,1+1
12,NEW)한끼스테이크(부채)150G,11900,1+1
13,NEW)한끼스테이크(채끝)150G,11900,1+1
14,용두동)쭈꾸미오징어(150G/냉동),8900,1+1
15,하림)THE미식오곡밥180G,2800,1+1
16,하림)THE미식찰현미쌀밥180G,2800,1+1
17,하림)THE미식백미밥210G,2300,1+1
18,하림)THE미식큰백미밥300G,3200,1+1
19,빙그레)요플레토핑다크초코,2000,1+1
20,빙그레)요플레토핑쿠앤크,2000,1+1
21,FIJI바이럭스프레쉬2L리필,17800,1+1
22,AURA리필1.7L스모키머스크,11800,1+1
23,AURA리필1.7L윌유메리미,11800,1+1
24,테크베이킹구연산액체2L(드럼),11800,1+1
25,테크베이킹구연산액체2L(일반),11800,1+1
26,롯데)제주말차라떼240ML,2200,1+1
27,클린앤힐)KF94방역마스크1입,1500,1+1
28,홈케어)일회용마스크5매(백색),6500,1+1
29,드림아이포에버80ML,3000,1+1
30,NEW드림아이2(습윤액)13ML,4500,1+1
31,웰메이드)일회용마스크5매(백색),6500,1+1
32,웰메이드)일회용마스크5매(블랙),6500,1+1
33,COZY)덴탈형KF94마스크5입(백색),6000,1+1
34,GS)XXXL웨이퍼코코아65G,1400,1+1
35,GS)XXXL웨이퍼화이트65G,1400,1+1
36,네모난물)시그니처물티슈70매,3900,1+1
37,대림)꼬꼬봉50G,1800,1+1
38,동아)나랑드사이다그린애플500,2000,1+1
39,동아)나랑드사이다파인애플500,2000,1+1
40,CJ)한뿌리홍삼대보100ML,5000,1+1
41,애디드)콤부차스윗망고340ML,3500,1+1
42,쟈뎅)청보리차500ML,2000,1+1
43,유어스)슈퍼히어로드링크120ML,900,1+1
44,천지개벽)숙취해소음료100ML,5000,1+1
45,동아)모닝케어D100ML,5000,1+1
46,동아)모닝케어H100ML,5000,1+1
47,HK)헛개수EX500ML,3000,1+1
48,흥선)간개무량150ML,5000,1+1
49,한독)레디큐프로120ML,6000,1+1
50,한독)레디큐120ML,5000,1+1
51,종근당)산에는삼100ML,3000,1+1
52,종근당)자황력액100ML,5000,1+1
53,종근당)헛개땡큐골드100ML,5000,1+1
54,광동)더진한헛개차골드라벨500ML,3000,1+1
55,종근당)프로틴이온워터330ML,2900,1+1
56,종근당)락토조이제로워터350ML,2000,1+1
57,유어스)덴마크드링킹딸기500ML,2300,1+1
58,유어스)덴마크드링킹복숭아500ML,2300,1+1
59,테이크얼라이브망고500,2500,1+1
60,테이크얼라이브블러드오렌지500,2500,1+1
61,테이크얼라이브샤인머스캣500,2500,1+1
62,테이크얼라이브자몽500,2500,1+1
63,조지아)크래프트블랙470ML,2500,1+1
64,조지아)크래프트스위트블랙470ML,2500,1+1
65,조지아)크래프트카페라떼470ML,2500,1+1
66,해태)갈배사이다PET500ML,2100,1+1
67,코카)탄산레몬에이드500ML,1800,1+1
68,코카)씨그램라임탄산수350ML,1500,1+1
69,코카)씨그램레몬탄산수350ML,1500,1+1
70,코카)씨그램피치탄산수350ML,1500,1+1
71,코카)닥터페퍼500ML,2100,1+1
72,코카)스프라이트PET1.5L,3200,1+1
73,롯데)더하다보리차500ML,2000,1+1
74,롯데)더하다옥수수수염차500ML,2000,1+1
75,롯데)레쓰비그란데라떼500ML,2000,1+1
76,롯데)레쓰비그란데헤이즐넛500ML,2000,1+1
77,롯데)칠성사이다플러스500ML,2500,1+1
78,롯데)칠성사이다제로캔355ML,1900,1+1
79,롯데)칠성사이다포도캔355ML,1900,1+1
80,오뚜기)발아흑미밥210G,2700,1+1
81,오뚜기)오곡밥210G,2700,1+1
82,오뚜기)김치참치덮밥(컵밥),4800,1+1
83,오뚜기)매콤낙지덮밥(컵밥),4800,1+1
84,오뚜기)쇠고기미역국밥(컵밥),4800,1+1
85,오뚜기)제육덮밥(컵밥),4800,1+1
86,오뚜기)차돌강된장보리밥(컵밥),4800,1+1
87,오뚜기)참치마요덮밥(컵밥),4800,1+1
88,오뚜기)톡톡김치알밥(컵밥),4800,1+1
89,오뚜기)대구식쇠고기육개장500G,7800,1+1
90,오뚜기)마포식차돌된장찌개500G,7800,1+1
91,오뚜기)양평식선지해장국500G,7800,1+1
92,오뚜기)단호박죽285G,4500,1+1
93,오뚜기)쇠고기죽285G,4500,1+1
94,오뚜기)영양닭죽285G,4500,1+1
95,오뚜기)전복죽285G,4500,1+1
96,오뚜기)통단팥죽285G,4500,1+1
97,농심)누들핏떡볶이국물맛,1800,1+1
98,농심)누들핏어묵탕맛,1800,1+1
99,GS)XXL웨이퍼코코아1000,1000,1+1
100,GS)XXL웨이퍼화이트1000,1000,1+1
101,이멕스)초코무쵸500,500,1+1
102,바프)메이플믹스넛30G,2200,1+1
103,바프)허브솔트믹스넛30G,2200,1+1
104,로아카)밀크웨하스45G,1800,1+1
105,로아카)바닐라웨하스45G,1800,1+1
106,로아카)치즈웨하스45G,1800,1+1
107,로아카)카카오웨하스45G,1800,1+1
108,CJ)명가재래김(4G*16봉),9900,1+1
109,CJ)명가파래김(4G*16봉),9900,1+1
110,갓생)CJ프로틴코인쿠키40G(치즈),2500,1+1
111,팔도)잔망루피젤리1200,1200,1+1
112,글로브)신한은행(마라맛)20G[D2],2000,1+1
113,글로브)신한은행(허니버터맛)20G,2000,1+1
114,담터)허니버터곡물라떼원컵,1500,1+1
115,담터)프로틴곡물(호두아몬드),2500,1+1
116,담터)프로틴곡물쉐이크(검은콩),2500,1+1
117,테라)비건육포40G(오리지날),3800,1+1
118,테라)비건육포40G(핫스파이시),3800,1+1
